"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2018","25,964.82","25,964.85","26,028.83","25,879.77","273.44M","-0.09%"
"Aug 30, 2018","25,986.92","26,099.01","26,104.37","25,934.80","240.44M","-0.53%"
"Aug 29, 2018","26,124.57","26,082.53","26,167.94","26,035.30","214.96M","0.23%"
"Aug 28, 2018","26,064.02","26,092.70","26,122.24","26,037.85","211.47M","0.06%"
"Aug 27, 2018","26,049.64","25,882.71","26,067.57","25,882.71","220.51M","1.01%"
"Aug 24, 2018","25,790.35","25,688.58","25,826.05","25,688.58","200.32M","0.52%"
"Aug 23, 2018","25,656.98","25,714.86","25,762.56","25,608.02","213.27M","-0.30%"
"Aug 22, 2018","25,733.60","25,825.06","25,836.16","25,722.43","200.48M","-0.34%"
"Aug 21, 2018","25,822.29","25,786.99","25,888.82","25,784.90","241.62M","0.25%"
"Aug 20, 2018","25,758.69","25,727.70","25,790.17","25,716.41","248.57M","0.35%"
"Aug 17, 2018","25,669.32","25,550.80","25,728.16","25,521.66","284.16M","0.43%"
"Aug 16, 2018","25,558.73","25,294.97","25,607.34","25,294.97","342.44M","1.58%"
"Aug 15, 2018","25,162.41","25,235.37","25,235.37","24,965.77","295.81M","-0.54%"
"Aug 14, 2018","25,299.92","25,215.69","25,339.51","25,201.87","219.21M","0.45%"
"Aug 13, 2018","25,187.70","25,327.19","25,381.39","25,153.93","219.99M","-0.50%"
"Aug 10, 2018","25,313.14","25,401.19","25,401.19","25,222.88","234.48M","-0.77%"
"Aug 09, 2018","25,509.23","25,589.79","25,613.31","25,492.69","214.97M","-0.29%"
"Aug 08, 2018","25,583.75","25,615.72","25,634.11","25,557.48","217.77M","-0.18%"
"Aug 07, 2018","25,628.91","25,551.65","25,692.72","25,551.65","239.91M","0.50%"
"Aug 06, 2018","25,502.18","25,437.43","25,540.02","25,381.38","238.99M","0.16%"
"Aug 03, 2018","25,462.58","25,360.37","25,467.90","25,325.17","239.02M","0.54%"
"Aug 02, 2018","25,326.16","25,256.45","25,360.48","25,120.07","307.70M","-0.03%"
"Aug 01, 2018","25,333.82","25,461.63","25,488.80","25,278.32","315.88M","-0.32%"
"Jul 31, 2018","25,415.19","25,345.21","25,490.98","25,345.21","348.70M","0.43%"
"Jul 30, 2018","25,306.83","25,439.32","25,500.16","25,287.38","296.88M","-0.57%"
"Jul 27, 2018","25,451.06","25,520.52","25,580.22","25,370.07","329.68M","-0.30%"
"Jul 26, 2018","25,527.07","25,468.55","25,587.24","25,463.16","297.53M","0.44%"
"Jul 25, 2018","25,414.10","25,183.70","25,432.87","25,113.55","273.67M","0.68%"
"Jul 24, 2018","25,241.94","25,092.43","25,286.62","25,092.43","274.94M","0.79%"
"Jul 23, 2018","25,044.29","25,036.90","25,081.45","24,983.33","228.82M","-0.06%"
"Jul 20, 2018","25,058.12","25,041.14","25,124.10","24,986.35","274.08M","-0.03%"
"Jul 19, 2018","25,064.50","25,139.15","25,154.17","25,052.62","285.76M","-0.53%"
"Jul 18, 2018","25,199.29","25,133.79","25,215.32","25,101.12","252.87M","0.32%"
"Jul 17, 2018","25,119.89","25,033.92","25,155.39","24,989.61","250.44M","0.22%"
